location,month,day ,year,species,assecion_number,age,sex,museum
Bartica Guyana,NA,NA,1911,Sora,NA,NA,NA,Tring
Trinidad,NA,NA,NA,Sora,NA,NA,NA,Tring
Merida Venezuela,11,7,1908,Sora,NA,NA,NA,Tring
Merida Venezuela,10,20,1909,Sora,NA,NA,NA,Tring
Merida Venezuela,10,28,1909,Sora,NA,NA,NA,Tring
Merida Venezuela,11,11,1911,Sora,NA,NA,NA,Tring
Merida Venezuela,9,18,1905,Sora,NA,NA,NA,Tring
Merida Venezuela,10,20,1902,Sora,NA,NA,NA,Tring
Merida Venezuela,10,20,1902,Sora,NA,NA,NA,Tring
Merida Venezuela,10,20,1911,Sora,NA,NA,NA,Tring
Merida Venezuela,10,27,1907,Sora,NA,NA,NA,Tring
Merida Venezuela,10,13,1910,Sora,NA,NA,NA,Tring
Merida Venezuela,10,20,1907,Sora,NA,NA,NA,Tring
Merida Venezuela,12,20,1910,Sora,NA,NA,NA,Tring
Merida Venezuela,11,11,1907,Sora,NA,NA,NA,Tring
Merida Venezuela,10,13,1908,Sora,NA,NA,NA,Tring
Merida Venezuela,10,28,1909,Sora,NA,NA,NA,Tring
Guatemala,NA,NA,NA,Sora,NA,NA,NA,Tring
Duenas Guatemala,10,18,1961,Sora,NA,NA,NA,Tring
Guatemala,NA,NA,NA,Sora,NA,NA,NA,Tring
Timpas Mexico,2,16,1905,Sora,NA,NA,NA,Tring
Belieze,6,NA,1880,Sora,89.11.20.86,adult,male,Tring
Cozumela Island Mexico,2,NA,1886,Sora,NA,NA,NA,Tring
Duenas Guatemala,NA,NA,1861,Sora,NA,NA,NA,Tring
Valley of Mexico,NA,NA,NA,Sora,NA,NA,NA,Tring
Cuban Virapaz Guatemala,11,NA,1859,Sora,NA,NA,NA,Tring
Progresso Mexico,2,NA,1884,Sora,NA,NA,NA,Tring
Duenas Guatemala,2,9,1858,Sora,NA,NA,NA,Tring
Cozumela Island Mexico,2,NA,1886,Sora,NA,NA,NA,Tring
Chapuleo Mexico,8,20,1888,Sora,91.11.4.180,adult,male,Tring
San Lucas Ecuador,NA,NA,1876,Sora,NA,NA,NA,Tring
Carayacas Ecuador,2,NA,1880,Sora,NA,NA,NA,Tring
Medellin Columbia,NA,NA,1876,Sora,NA,NA,NA,Tring
Santa Elena Ecuador,2,6,1955,Sora,NA,NA,NA,Tring
Volcano of Chirigua,NA,NA,1870,Sora,NA,NA,NA,Tring
Sion Hill Panama,NA,NA,NA,Sora,NA,NA,NA,Tring
Quinto Ecuador,NA,NA,NA,Sora,NA,NA,NA,Tring
Nuestro Ano Costa Rica,NA,NA,NA,Sora,NA,NA,NA,Tring
Sion Hill Panama,NA,NA,NA,Sora,NA,NA,NA,Tring
