"location","month","day","year","sex","museum","species","assecion_number","from","cut"
"Aruba",7,19,2017,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS519843548","gbifFILE",""
"Aruba",7,25,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS420197850","gbifFILE",""
"Bahamas",7,22,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS641913807","gbifFILE",""
"Bahamas",7,22,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS642119379","gbifFILE",""
"Bahamas",6,11,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS411360195","gbifFILE",""
"Bahamas",6,11,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS411348882","gbifFILE",""
"Bahamas",6,11,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS411375924","gbifFILE",""
"Bahamas",6,11,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS411530231","gbifFILE",""
"Belize",6,NA,1880,"male","Tring","Sora","89.11.20.86","tringFILE",""
"Belize",7,28,2015,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS339506374","gbifFILE",""
"Belize",7,28,2015,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS333723993","gbifFILE",""
"Bermuda",7,NA,1979,"","USNM","Porzana carolina","http://n2t.net/ark:/65665/3f4fc2ab9-ccd1-43d8-9fa2-bb72f8908c5b","vertnetFILE",""
"Bermuda",7,NA,1979,NA,"USNM","Porzana carolina (Linnaeus","http://n2t.net/ark:/65665/3f4fc2ab9-ccd1-43d8-9fa2-bb72f8908c5b","gbifFILE",""
"Bermuda",6,1,2017,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS507002467","gbifFILE",""
"Caribbean Netherlands",6,24,1984,NA,"FROMEBIRD","Porzana carolina","URN:CornellLabOfOrnithology:EBIRD:OBS763996997","ebirdFILE",""
"Caribbean Netherlands",7,14,2000,NA,"FROMEBIRD","Porzana carolina","URN:CornellLabOfOrnithology:EBIRD:OBS763999175","ebirdFILE",""
"Cayman Islands",7,30,1965,"","UF","Porzana carolina","F0820F8D-B742-4C70-8E5B-838A9CE13CCC","vertnetFILE",""
"Colombia",7,12,2006,NA,"Asociación para el Estudio y Conservación de las Aves Acuáticas en Colombia (CALIDRIS)","Porzana carolina (Linnaeus","CALIDRIS:CNAA:020216-110731:YCS3389","gbifFILE",""
"Colombia",7,13,2008,NA,"Asociación para el Estudio y Conservación de las Aves Acuáticas en Colombia (CALIDRIS)","Porzana carolina (Linnaeus","CALIDRIS:CNAA:020216-110731:YCS6137","gbifFILE",""
"Colombia",7,NA,1990,NA,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","Porzana carolina (Linnaeus","IAvH:IAvH-A-7287","gbifFILE",""
"Colombia",7,12,2006,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS425809322","gbifFILE",""
"Colombia",6,25,2006,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:361464","gbifFILE",""
"Colombia",6,25,2006,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:312022","gbifFILE",""
"Colombia",6,25,2006,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:000006","gbifFILE",""
"Colombia",7,29,1995,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:097122","gbifFILE",""
"Colombia",7,29,1995,NA,"Red Nacional de Observadores de Aves (RNOA)","Porzana carolina (Linnaeus","AVCO:RNOA:AVES:167097","gbifFILE",""
"Cuba",6,20,1933,"f","field_museum","Sora","157464","fieldmuseumFILE",""
