"location","month","day","year","sex","museum","species","assecion_number","from"
"Norway",6,13,2017,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS510862071","gbifFILE"
"Norway",6,16,2017,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS515737811","gbifFILE"
"Norway",6,16,2017,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS514700366","gbifFILE"
"Philippines",6,4,1985,"female","NCSM","Baillon's Crake","5DAE04FC-383D-494E-90AD-FC40857B5855","vertnetFILE"
"Philippines",6,4,1985,"male","NCSM","Baillon's Crake","8CD18061-7AEE-4AE5-95FF-4D1837C02BDF","vertnetFILE"
"Philippines",10,16,1981,"male","NCSM","White-browed Crake","B966B6D6-1D75-43B7-9AB2-BB4E76C3AE40","vertnetFILE"
"Philippines",5,4,1985,"female","NCSM","Ruddy-breasted Crake","CE16B9D3-E387-4978-9DF0-6D6FFD49703B","vertnetFILE"
"Philippines",5,4,1985,"male","NCSM","Ruddy-breasted Crake","CF500904-FBAA-446D-8868-CB7E616DC67B","vertnetFILE"
"Philippines",7,10,1981,"female","NCSM","Baillon's Crake","CF74AEC9-C4DA-4010-B4F4-C3253CEAE1AE","vertnetFILE"
"Philippines",5,11,1985,"female","NCSM","White-browed Crake","D521C862-5AE4-4683-B078-3FD8DF946B7C","vertnetFILE"
"Philippines",7,17,1981,"male","NCSM","Baillon's Crake","EA14BAE3-C6E2-42AF-B0E3-20BC7AFC729E","vertnetFILE"
"Philippines",5,4,1985,"female","NCSM","Spotless Crake","2F919A35-2D46-4D74-B72B-D3EF93FFE5E9","vertnetFILE"
"Philippines",5,4,1985,"female","NCSM","Ruddy-breasted Crake","3626D760-5878-48D7-BC95-DC76E4F1B8B4","vertnetFILE"
"Philippines",5,4,1985,"male","NCSM","Spotless Crake","375B5611-EEFA-453C-A3ED-C3AECCA1845B","vertnetFILE"
"Philippines",5,4,1985,"male","NCSM","Baillon's Crake","65660BCD-FA99-43DD-B0B5-E750C85F591E","vertnetFILE"
"Philippines",5,4,1985,"male","NCSM","Spotless Crake","7E1FB2CA-10AE-4BBB-936C-8246CF7A17B4","vertnetFILE"
"Philippines",9,10,1981,"female","NCSM","White-browed Crake","9F612AE3-6F73-4668-BD13-3C40EDE516B8","vertnetFILE"
"Philippines",5,NA,1984,"male","NCSM","White-browed Crake","C41660DF-868F-4155-AC93-A175D2211216","vertnetFILE"
"Sweden",6,14,1966,"","CLO","Porzana carolina","4a574677-dfb5-40a2-9dd7-e935866a6c93","vertnetFILE"
"Sweden",6,18,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:51687032","gbifFILE"
"Sweden",6,1,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:17839315","gbifFILE"
"Sweden",6,19,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:19002036","gbifFILE"
"Sweden",7,7,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:20211290","gbifFILE"
"Sweden",6,5,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:57143830","gbifFILE"
"Sweden",6,9,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:27535835","gbifFILE"
"Sweden",6,5,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:28287830","gbifFILE"
"Sweden",7,7,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:33008321","gbifFILE"
"Sweden",6,15,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:35195016","gbifFILE"
"Sweden",6,3,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:25735428","gbifFILE"
"Sweden",6,2,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:25886924","gbifFILE"
"Sweden",6,11,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:26572743","gbifFILE"
"Sweden",6,7,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:26523353","gbifFILE"
"Sweden",7,8,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:26944451","gbifFILE"
"Sweden",6,1,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:40801133","gbifFILE"
"Sweden",6,1,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:41168815","gbifFILE"
"Sweden",7,7,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:41130076","gbifFILE"
"Sweden",6,1,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:23276398","gbifFILE"
"Sweden",6,10,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:23637909","gbifFILE"
"Sweden",6,1,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:23741155","gbifFILE"
"Sweden",6,6,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:24642778","gbifFILE"
"Sweden",6,3,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:21359577","gbifFILE"
