location,month,day,year,sex,museum,species,assecion_number,from,cut
Aruba,7,19,2017,NA,CLO,Porzana carolina (Linnaeus,URN:catalog:CLO:EBIRD:OBS519843548,gbifFILE,
Aruba,7,25,2016,NA,CLO,Porzana carolina (Linnaeus,URN:catalog:CLO:EBIRD_CB:OBS420197850,gbifFILE,
Aruba,7,25,2016,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Aruba,7,19,2017,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Bahamas,1,23,1949,male,UMMZ,Porzana carolina,urn:catalog:UMMZ:Birds:119532,vertnetFILE,
Bahamas,2,14,1949,female,UMMZ,Porzana carolina,urn:catalog:UMMZ:Birds:119533,vertnetFILE,
Bahamas,11,30,1959,,UF,Porzana carolina,372407D2-BA7E-43B5-ABBA-2C635EA9D85B,vertnetFILE,
Bahamas,11,30,1958,,UF,Porzana carolina,c7cfae34-fecf-4536-90fc-e969a09b42c4,vertnetFILE,
Bahamas,4,6,1946,female,CM,Porzana carolina,urn:catalog:CM:Birds:P130937,vertnetFILE,
Bahamas,12,14,1901,male,NHMUK,Porzana carolina,079c9948-975d-40a4-a650-bb4f3d95627b,vertnetFILE,
Bahamas,4,9,1982,undetermined,UF,Porzana carolina,urn:catalog:UF:Birds:42172,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/336a4798b-3caa-4098-b200-7408e4e527cc,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/34b471760-c9bb-4fcb-8671-5d4b81e32b54,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/3653249d3-d4a2-4354-a1b2-421e296aa55a,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/36836e0d5-58a7-4aa0-a611-d59daab50bc4,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/36d892795-331a-4110-82b2-2be59d93ac8c,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/3e64b04ad-0de5-4d50-92c3-d0bbf3a4d70e,vertnetFILE,
Bahamas,2,19,1909,female,CM,Porzana carolina,urn:catalog:CM:Birds:P30827,vertnetFILE,
Bahamas,2,19,1909,male,CM,Porzana carolina,urn:catalog:CM:Birds:P30828,vertnetFILE,
Bahamas,1,21,1999,female,UF,Porzana carolina,urn:catalog:UF:Birds:41190,vertnetFILE,
Bahamas,4,1,1902,male,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/9,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/322225dd8-75a4-48c4-9fe9-b8ff6bc17fda,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/33b039f22-67f9-42f8-b3ae-2331fea43317,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/34a2e19f5-e5e0-4662-b031-f9f7caee35cd,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/34c7ba680-f906-40cf-be07-ca1c2e553548,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/38da5b75b-de44-4c61-9d9f-461794f4f9b6,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/3a590c06b-0432-4c66-9e46-00b6c4636e85,vertnetFILE,
Bahamas,2,7,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/3ac88530e-0cbc-4da6-8b00-ef1d758b7cb6,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/3c036e132-3284-4ab2-8466-78fd5a5ce5d0,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/3c0c70e9c-cc3f-486f-8de5-5e9b6204b448,vertnetFILE,
Bahamas,2,1,1981,,USNM,Porzana carolina,http://n2t.net/ark:/65665/3f55df3e2-91ef-4b81-80ab-217288b5d4cf,vertnetFILE,
