"�..GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","Month","Day","Year","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS"
"URN:CornellLabOfOrnithology:EBIRD:OBS420197850","23:45.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Aruba","AW","Aruba","AW-","","","AW001",NA,"","","Bubali Bird Sanctuary","L856498","H",12.5614542,-70.0483453,"7","25","2016","17:33:00","obsr431970","S30855642","CWC Point Count","P46","EBIRD_CB",6,NA,4,1,1,"",0,1,1,"","Point west of tower, opposite of Phoenix hotel, Sky clear, wind east swaying small branches, traffic noise moderate, 10% water coverage, 90 % vegatation coverage, typha spp., Pistia stratiotes, Conocarpus erecta, more YEWA's seen when arriving.","Small purple gallinule like bird, distinctive yellow bill, swimming between the reeds."
"URN:CornellLabOfOrnithology:EBIRD:OBS519843548","28:15.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Aruba","AW","Aruba","AW-","","","AW001",NA,"","","Bubali Bird Sanctuary.","L6104159","P",12.5615713,-70.0483336,"7","19","2017","17:15:00","obsr431970","S38224344","Stationary","P21","EBIRD",7,NA,NA,1,1,"",0,1,1,"","Overcast sky, moderate wind from the East, moderate noise at the tower, 10% water coverage with 95% coverage of Typha sp., Pistia s., and Conocarpus e.","Near the vegetation."
"URN:CornellLabOfOrnithology:EBIRD:OBS507002467","16:20.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Bermuda","BM","Bermuda","BM-","","","",NA,"","","Spittal Pond NR","L952649","H",32.3114369,-64.7261238,"6","1","2017","9:54:00","obsr13613","S37308644","Traveling","P22","EBIRD",115,2.816,NA,1,1,"",0,1,1,"","Walked all trails and along South Rd.----Also 2 adult and 1 juvenile domestic ducks.----Weather - Mostly cloudy, upper 70s F (mid 20s C).----Reptile - lizard sp. (Jamaican Anole?), 1.----Butterflies - Cabbage White, 13.  Cloudless Sulphur, 1.  Gulf Fritillary, 5.  Common Buckeye, 5.  Monarch, 1.","Foraging along pond edge.  Med. sized rail.  Yellow bill, black around bill, gray below, brown above.  Silent.  Crummy photo obtained, which I can post next week."
"URN:CornellLabOfOrnithology:EBIRD:OBS763996997","20:49.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Caribbean Netherlands","BQ","Bonaire","BQ-BO","","","AN013",NA,"","","Kaminda Lac Wetlands","L4432408","H",12.1224736,-68.2263246,"6","24","1984","","obsr1343981","S56601758","Historical","P62","EBIRD",NA,NA,NA,1,0,"",0,1,0,"","prins et al 2009, ardea. this checklist was submitted may 21, 2019 by rob wellens.","prins et al 2009, ardea."
"URN:CornellLabOfOrnithology:EBIRD:OBS763999175","22:45.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Caribbean Netherlands","BQ","Bonaire","BQ-BO","","","",NA,"","","Dos Pos--Roadside area","L7421948","H",12.2388373,-68.3562082,"7","14","2000","","obsr1343981","S56601883","Historical","P62","EBIRD",NA,NA,NA,1,0,"",0,1,1,"","prins et al 2009, ardea. this checklist was submitted may 21, 2019 by rob wellens.","prins et al 2009, ardea."
"URN:CornellLabOfOrnithology:EBIRD:OBS411360195","58:32.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Bahamas","BS","Freeport and West Grand Bahama","BS-FP","","","",NA,"","","Bahama Beach","L4305776","P",26.6457991,-78.9323473,"6","11","2016","12:50:00","obsr197432","S30185370","Traveling","P22","EBIRD_CB",30,0.483,NA,3,1,"G1809334",0,1,1,"","Birding with Erika Gates, Gena Granger, and Delores Kellman.","Heard"
"URN:CornellLabOfOrnithology:EBIRD:OBS411348882","58:32.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Bahamas","BS","Freeport and West Grand Bahama","BS-FP","","","",NA,"","","Bahama Beach","L4305776","P",26.6457991,-78.9323473,"6","11","2016","12:50:00","obsr595543","S30184613","Traveling","P22","EBIRD_CB",30,0.483,NA,4,1,"G1809334",0,1,1,"","Birding with Erika Gates, Gena Granger, and Delores Kellman.","Heard"
"URN:CornellLabOfOrnithology:EBIRD:OBS411530231","30:42.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Bahamas","BS","Freeport and West Grand Bahama","BS-FP","","","",NA,"","","Bahama Beach","L4305776","P",26.6457991,-78.9323473,"6","11","2016","12:50:00","obsr501439","S30196818","Traveling","P22","EBIRD_CB",30,0.483,NA,3,1,"G1809334",0,1,1,"","Birding with Erika Gates, Gena Granger, and Delores Kellman.","Heard"
"URN:CornellLabOfOrnithology:EBIRD:OBS411375924","58:32.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Bahamas","BS","Freeport and West Grand Bahama","BS-FP","","","",NA,"","","Bahama Beach","L4305776","P",26.6457991,-78.9323473,"6","11","2016","12:50:00","obsr729775","S30186378","Traveling","P22","EBIRD_CB",30,0.483,NA,4,1,"G1809334",0,1,1,"","Birding with Erika Gates, Gena Granger, and Delores Kellman.","Heard"
"URN:CornellLabOfOrnithology:EBIRD:OBS642119379","32:36.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Bahamas","BS","New Providence","BS-NP","","","",NA,"","","Ponds at Office of the Prime Minister","L7740473","H",25.0700416,-77.3823385,"7","22","2018","8:30:00","obsr764896","S47372037","Traveling","P22","EBIRD",30,0.483,NA,2,1,"G3359323",0,1,1,"","Lillian Russell & Tonia Ferguson","small brown/grey waterbird with bright yellow bill.  Only saw briefly as it quickly headed back into the reeds"
"URN:CornellLabOfOrnithology:EBIRD:OBS641913807","32:36.0",5234,"species","Sora","Porzana carolina",NA,NA,"1","","","","Bahamas","BS","New Providence","BS-NP","","","",NA,"","","Ponds at Office of the Prime Minister","L7740473","H",25.0700416,-77.3823385,"7","22","2018","8:30:00","obsr246531","S47355774","Traveling","P22","EBIRD",30,0.483,NA,2,1,"G3359323",0,1,1,"","Lillian Russell & Tonia Ferguson","small brown/grey waterbird with bright yellow bill.  Only saw briefly as it quickly headed back into the reeds"
"URN:CornellLabOfOrnithology:EBIRD:OBS339506374","07:26.0",5234,"species","Sora","Porzana carolina",NA,NA,"2","","","","Belize","BZ","Stann Creek","BZ-SC","","","",NA,"","","Cockscomb Basin Wildlife Sanctuary","L330946","H",16.781198,-88.45717,"7","28","2015","7:09:00","obsr423068","S24829970","Traveling","P22","EBIRD",207,4.828,NA,1,1,"G1362147",0,1,1,"","50 1007 tony bird; agouti  <br />Submitted from eBird for iOS, version 1.0.1 Build 5","35. Heard at first bridge; Eric has recording"
"URN:CornellLabOfOrnithology:EBIRD:OBS333723993","07:26.0",5234,"species","Sora","Porzana carolina",NA,NA,"2","","","","Belize","BZ","Stann Creek","BZ-SC","","","",NA,"","","Cockscomb Basin Wildlife Sanctuary","L330946","H",16.781198,-88.45717,"7","28","2015","7:09:00","obsr191211","S24410611","Traveling","P22","EBIRD",207,4.828,NA,1,1,"G1362147",0,1,1,"","50 1007 tony bird; agouti  <br />Submitted from eBird for iOS, version 1.0.1 Build 5","35. Heard at first bridge; Eric has recording"
