"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","countryCode","locality","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1491989771","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:51687032","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Jäverön","b8323864-602a-4a7d-9127-bb903054e97d",59.372199,13.642247,2500,NA,NA,NA,NA,NA,"1987-06-18T00:00:00Z",18,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","88299542","","","","CC0_1_0","Michael Averland","Michael Averland",NA,"","2019-01-11T23:11:38.803Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1461354071","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:17839315","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Björknästorpsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.400571,13.661237,500,NA,NA,NA,NA,NA,"1987-06-01T00:00:00Z",1,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","51768090","","","","CC0_1_0","Per Gustafsson","Per Gustafsson",NA,"","","",""
"1461372094","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:19002036","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-19T00:00:00Z",19,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","51788132","","","","CC0_1_0","Joakim Ekman","Joakim Ekman",NA,"","","",""
"1461386096","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:20211290","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Kråkberg","b8323864-602a-4a7d-9127-bb903054e97d",61.031571,14.534607,1888,NA,NA,NA,NA,NA,"1987-07-07T00:00:00Z",7,7,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","51804082","","","","CC0_1_0","Torvald Tranetoft","Torvald Tranetoft",NA,"","","",""
"1428967228","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:57143830","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsviken","b8323864-602a-4a7d-9127-bb903054e97d",59.408033,13.692032,750,NA,NA,NA,NA,NA,"1987-06-05T00:00:00Z",5,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","96352567","","","","CC0_1_0","Magnus Swenson","Magnus Swenson",NA,"","2019-01-19T04:06:16.140Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"2179202531","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS631582281","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","MX","Ciénega Redonda","e2e717bf-551a-4917-bdc9-4fa0f342c530",32.531871,-116.317234,NA,NA,NA,NA,NA,NA,"2018-06-10T00:00:00Z",10,6,2018,2474639,2474639,"HUMAN_OBSERVATION","CLO","EBIRD","OBS631582281","","","","CC0_1_0","","obsr131498",NA,"","2019-03-31T11:58:32.299Z","","COORDINATE_ROUNDED"
"1317174739","c8681cc2-9d0a-4c5f-b620-5c753abfe2bc","http://n2t.net/ark:/65665/3f4fc2ab9-ccd1-43d8-9fa2-bb72f8908c5b","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","BM","","bc092ff0-02e4-11dc-991f-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,"1979-07-01T00:00:00Z",NA,7,1979,2474639,2474639,"FOSSIL_SPECIMEN","USNM","Paleobiology","PAL326073","","Olson","","CC0_1_0","","D. Wingate",NA,"","2018-12-08T09:44:21.019Z","",""
"1470487296","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:27535835","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-09T22:57:00Z",9,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","63045530","","","","CC0_1_0","Ulf Gärdenfors","Ulf Gärdenfors",NA,"","2018-12-07T22:52:01.675Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1470893505","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:28287830","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsviken","b8323864-602a-4a7d-9127-bb903054e97d",59.408033,13.692032,750,NA,NA,NA,NA,NA,"1987-06-05T00:00:00Z",5,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","63578443","","","","CC0_1_0","Leif Sandgren","Leif Sandgren",NA,"","2018-12-07T22:55:51.244Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1475360207","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:33008321","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Kråkberg","b8323864-602a-4a7d-9127-bb903054e97d",61.031571,14.534607,1888,NA,NA,NA,NA,NA,"1987-07-07T00:00:00Z",7,7,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","69067305","","","","CC0_1_0","Sten-Erik Bohlin","Sten-Erik Bohlin",NA,"","2018-12-07T05:18:18.032Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
